miRNA,index
hsa-let-7b-5p,i1
hsa-let-7b-3p,i2
hsa-let-7c-5p,i3
hsa-let-7d-5p,i4
hsa-let-7e-5p,i5
hsa-let-7f-5p,i6
hsa-let-7g-5p,i7
hsa-let-7i-5p,i8
hsa-miR-1-3p,i9
hsa-miR-10a-5p,i10
hsa-miR-100-5p,i11
hsa-miR-101-3p,i12
hsa-miR-101-5p,i13
hsa-miR-103a-3p,i14
hsa-miR-106a-5p,i15
hsa-miR-106b-5p,i16
hsa-miR-107,i17
hsa-miR-10b-5p,i18
hsa-miR-1181,i19
hsa-miR-122-5p,i20
hsa-miR-1225-5p,i21
hsa-miR-1226-5p,i22
hsa-miR-1227-3p,i23
hsa-miR-1229-3p,i24
hsa-miR-124-3p,i25
hsa-miR-1246,i26
hsa-miR-125a-3p,i27
hsa-miR-125a-5p,i28
hsa-miR-125b-5p,i29
hsa-miR-126-3p,i30
hsa-miR-126-5p,i31
hsa-miR-1260a,i32
hsa-miR-1268a,i33
hsa-miR-127-3p,i34
hsa-miR-1275,i35
hsa-miR-128-3p,i36
hsa-miR-1286,i37
hsa-miR-129-2-3p,i38
hsa-miR-1290,i39
hsa-miR-1291,i40
hsa-miR-129-5p,i41
hsa-miR-130a-3p,i42
hsa-miR-130b-3p,i43
hsa-miR-132-3p,i44
hsa-miR-133a-3p,i45
hsa-miR-133b,i46
hsa-miR-134-5p,i47
hsa-miR-135a-3p,i48
hsa-miR-135a-5p,i49
hsa-miR-135b-5p,i50
hsa-miR-137-3p,i51
hsa-miR-138-5p,i52
hsa-miR-139-5p,i53
hsa-miR-140-5p,i54
hsa-miR-141-3p,i55
hsa-miR-142-3p,i56
hsa-miR-142-5p,i57
hsa-miR-143-3p,i58
hsa-miR-144-3p,i59
hsa-miR-145-5p,i60
hsa-miR-146a-5p,i61
hsa-miR-1469,i62
hsa-miR-146b-5p,i63
hsa-miR-147a,i64
hsa-miR-148a-3p,i65
hsa-miR-148b-3p,i66
hsa-miR-149-5p,i67
hsa-miR-149-3p,i68
hsa-miR-150-5p,i69
hsa-miR-150-3p,i70
hsa-miR-151a-3p,i71
hsa-miR-151a-5p,i72
hsa-miR-152-3p,i73
hsa-miR-153-3p,i74
hsa-miR-154-5p,i75
hsa-miR-155-5p,i76
hsa-miR-15a-5p,i77
hsa-miR-15b-5p,i78
hsa-miR-16-5p,i79
hsa-miR-16-1-3p,i80
hsa-miR-17-5p,i81
hsa-miR-17-3p,i82
hsa-miR-18a-5p,i83
hsa-miR-181a-5p,i84
hsa-miR-181a-3p,i85
hsa-miR-181b-5p,i86
hsa-miR-181c-5p,i87
hsa-miR-181d-5p,i88
hsa-miR-182-5p,i89
hsa-miR-183-5p,i90
hsa-miR-184,i91
hsa-miR-185-5p,i92
hsa-miR-186-5p,i93
hsa-miR-186-3p,i94
hsa-miR-187-3p,i95
hsa-miR-18a-3p,i96
hsa-miR-190a-5p,i97
hsa-miR-191-5p,i98
hsa-miR-191-3p,i99
hsa-miR-1915-3p,i100
hsa-miR-192-5p,i101
hsa-miR-193a-3p,i102
hsa-miR-193a-5p,i103
hsa-miR-193b-3p,i104
hsa-miR-193b-5p,i105
hsa-miR-194-5p,i106
hsa-miR-194-3p,i107
hsa-miR-195-5p,i108
hsa-miR-196a-5p,i109
hsa-miR-197-3p,i110
hsa-miR-199a-5p,i111
hsa-miR-199a-3p,i112
hsa-miR-199b-5p,i113
hsa-miR-19a-3p,i114
hsa-miR-19b-3p,i115
hsa-miR-20a-5p,i116
hsa-miR-200a-3p,i117
hsa-miR-200b-3p,i118
hsa-miR-200c-3p,i119
hsa-miR-202-3p,i120
hsa-miR-202-5p,i121
hsa-miR-203a-3p,i122
hsa-miR-204-5p,i123
hsa-miR-205-5p,i124
hsa-miR-206,i125
hsa-miR-20b-5p,i126
hsa-miR-21-5p,i127
hsa-miR-210-3p,i128
hsa-miR-211-5p,i129
hsa-miR-212-3p,i130
hsa-miR-214-3p,i131
hsa-miR-215-5p,i132
hsa-miR-216a-5p,i133
hsa-miR-217-5p,i134
hsa-miR-218-5p,i135
hsa-miR-219a-1-3p,i136
hsa-miR-22-3p,i137
hsa-miR-22-5p,i138
hsa-miR-221-3p,i139
hsa-miR-222-3p,i140
hsa-miR-222-5p,i141
hsa-miR-223-3p,i142
hsa-miR-224-5p,i143
hsa-miR-23a-3p,i144
hsa-miR-23a-5p,i145
hsa-miR-23b-3p,i146
hsa-miR-24-3p,i147
hsa-miR-24-1-5p,i148
hsa-miR-25-3p,i149
hsa-miR-26a-5p,i150
